recordid,name,cwid
02iPn000005MgNVIA0,Dowagiac Union Schools Sister Lakes N4 JACE,561
02iPn000005MgNWIA0,Highland CRC Jace-2,1262
02iPn000005MgNXIA0,1) N4 Supervisor/RDP,3114
02iPn000005MgNYIA0,MMA_AC2_JACE3,3196
02iPn000005MgP7IAK,Dowagiac Union Schools Pat Ham N4 JACE,562
02iPn000005MgQjIAK,Dowagiac Union Schools Kincheloe N4 JACE,563
02iPn000005MgSLIA0,Dowagiac Union Schools Justus Gage N4 JACE,564
02iPn000005MgSMIA0,3 AX Supervisor,637
02iPn000005MgSNIA0,Bear Pointe Plaza,3246
02iPn000005MgSOIA0,JCI .cafs,3419
02iPn000005MgTxIAK,Portland Schools Remote Access (obsolete),566
02iPn000005MgVZIA0,West Catholic N4 Supervisor,567
02iPn000005MgXBIA0,West Catholic N4 Boiler JACE,569
02iPn000005MgXCIA0,2 - IQVision and remote access,3094
02iPn000005MgXDIA0,AQ_Field_House AX JACE,3179
02iPn000005MgYnIAK,West Catholic Remote Access,570
02iPn000005Mgc1IAC,Catholic Athletic Trails,572
02iPn000005MgddIAC,Muskegon Community College Arts and Humanities N4 JACE,573
02iPn000005MgfFIAS,Muskegon Community College Wellness N4 JACE,574
02iPn000005MgfGIAS,1 - Remote Connection,1720
02iPn000005MggrIAC,Muskegon Community College AX Supervisor,576
02iPn000005MggsIAC,3 - Kent ISD KEC - Niagara 4 FX JACE,3073
02iPn000005MgiTIAS,Muskegon Community College AX JACE,577
02iPn000005Mgk5IAC,Muskegon Community College AX Station,578
02iPn000005MglhIAC,Muskegon Community College N4 Station,579
02iPn000005MgnJIAS,1 Muskegon Community College VPN Access,580
02iPn000005MgovIAC,Monroe County Community College N4 Supervisor,582
02iPn000005MgowIAC,Monitor - 017,1600
02iPn000005MgqXIAS,Monroe County Community College GEO AX JACE,583
02iPn000005MgqYIAS,Madison Heights Building 1,1980
02iPn000005Mgs9IAC,Monroe County Community College Life Sciences AX JACE,584
02iPn000005MgtlIAC,Monroe County Community College Administration AX JACE,585
02iPn000005MgtmIAC,Alpha Green N4 JACE,592
02iPn000005MgwzIAC,Monroe County Community College Campbell AX JACE,586
02iPn000005Mgx0IAC,RCS Van Hoosen Jacen Config,2083
02iPn000005MgybIAC,Monroe County Community College EastWest AX JACE (off Line),587
02iPn000005Mh0DIAS,Monroe County Community College Remote Access,588
02iPn000005Mh0EIAS,2) Westwood RDP,2157
02iPn000005Mh1pIAC,Monroe County Community College Other 3rd Party Systems,589
02iPn000005Mh3RIAS,1 Alpha Green Remote Access,593
02iPn000005Mh53IAC,1_Alma College Remote Access,594
02iPn000005Mh54IAC,FPBOILER-PC - Automate Connection,1161
02iPn000005Mh6fIAC,400-HHS-TREND - Automate Connection,597
02iPn000005Mh6gIAC,Whirlpool_BHTC_RTU26,2208
02iPn000005Mh8HIAS,999 - Ingham ISD - Compass Server via Remote Desktop (offline),599
02iPn000005Mh9tIAC,Livonia Public Schools Remote Access,603
02iPn000005Mh9uIAC,MMA_AHU2_JACE5,3198
02iPn000005MhBVIA0,Livonia Public Schools Admin N4 JACE,604
02iPn000005MhBWIA0,NCMC_Jace,1200
02iPn000005MhBXIA0,1 Remote Connection,1361
02iPn000005MhD7IAK,1 Wexford County Courthouse Remote Access,605
02iPn000005MhD8IAK,Taubman Center CCS_TAUB_01,3228
02iPn000005MhEjIAK,1 Marshall County Jail Remote Access (Obsolete - used as alt method),607
02iPn000005MhGLIA0,Holton Public Schools High School N4 JACE,622
02iPn000005MhGMIA0,BHTC Electric Room JACE,1390
02iPn000005MhHxIAK,Holton Public Schools Elementary N4 JACE,623
02iPn000005MhJZIA0,Holton Public Schools Administration N4 JACE,624
02iPn000005MhLBIA0,2 Holton Public Schools N4 Supervisor,625
02iPn000005MhMnIAK,Holton Public Schools Summit/tracer info,626
02iPn000005MhOPIA0,1 - Huron Valley Schools Remote Access for Trend - CW Automate,627
02iPn000005MhQ1IAK,2 - Kelloggsville Public Schools N4 Supervisor,628
02iPn000005MhQ6IAK,Hydronic Manometer - Water Meter's (Testo probes),2699
02iPn000005MhQ7IAK,Microbiologics Portage,3107
02iPn000005MhRdIAK,Kelloggsville Public Schools West Elementary N4 JACE,629
02iPn000005MhReIAK,Kelloggsville Public Schools Middle School N4 JACE,630
02iPn000005MhRfIAK,Remote Access - WCCT AX JACE,874
02iPn000005MhTFIA0,Kelloggsville Public Schools High School N4 JACE,631
02iPn000005MhUrIAK,1 - Kelloggsville Public Schools Remote Access,632
02iPn000005MhWTIA0,HVAC01 - Automate Connection,634
02iPn000005MhZhIAK,1 VPN Access,635
02iPn000005MhZiIAK,5 - S1000 - SBC_HW_HPL_CT_DHW,3267
02iPn000005MhbJIAS,2 N4 Supervisor,636
02iPn000005MhcvIAC,R2 Supervisor,638
02iPn000005MhcxIAC,IronWorkers25 External IP Remote Access,1799
02iPn000005MheaIAC,Hydronic Manometer,1116
02iPn000005Mhg9IAC,Dashboard Server,639
02iPn000005MhhlIAC,Dashboard Graphics Server,640
02iPn000005MhhmIAC,production,1120
02iPn000005MhhnIAC,techsup,2642
02iPn000005MhjNIAS,Lakeshore Cancer Center Remote Access,641
02iPn000005MhkzIAC,Glacier Hills VPN,642
02iPn000005MhmbIAC,1 - Primera VPN,646
02iPn000005MhmcIAC,2 - Western Schools N4 Server,697
02iPn000005MhmdIAC,Monitor - 063,1645
02iPn000005MhoDIAS,1 - WOPS - WatchGuard  remote connection- VPN,647
02iPn000005MhppIAC,Kalamazoo WWTP JACE by CSI,661
02iPn000005MhpqIAC,JACE_18 Patient Tower 3rd Floor/Penthouse,1376
02iPn000005MhrRIAS,Kalamazoo WWTP N4 JACE by Mall City Mech,662
02iPn000005MhrSIAS,WHSHVAC-01 - Automate Connection,1196
02iPn000005MhrTIAS,CharlotteNC_NW_AX JACE,1203
02iPn000005Mht3IAC,City of Kalamazoo WWTP,663
02iPn000005MhufIAC,Bangpt Twp Schools N4 Supervisor,664
02iPn000005MhwHIAS,Bangor Twp Schools John Glenn HS N4 JACE,665
02iPn000005MhzVIAS,Bangor Twp Schools Central N4 JACE,667
02iPn000005Mi17IAC,Bangor Twp School Lincoln N4 JACE,668
02iPn000005Mi2jIAC,Bangor Twp Schools Remote Access,670
02iPn000005Mi4MIAS,1 X-Cel VPN(Remote Access),1141
02iPn000005Mi5xIAC,Bangor Twp Schools Trane Tracer (see notes field),671
02iPn000005Mi7ZIAS,Air Tech Security (not confirmed),672
02iPn000005Mi7aIAC,New Buffalo Library Connectwise Control access,1285
02iPn000005Mi9BIAS,Allegaince Health JACE (not confirmed),673
02iPn000005MiAnIAK,Allegiance Health Remote Access (account disabled),674
02iPn000005MiCPIA0,Alpine Baptist JACE,675
02iPn000005MiE1IAK,Archway JACE (not confirmed),676
02iPn000005MiE2IAK,Caledonia - 2nd Floor JACE,1312
02iPn000005MiFdIAK,Bank of America JACE (not Confirmed),677
02iPn000005MiFeIAK,North Isonas Login,3084
02iPn000005MiHFIA0,Alpena County Airport Old Terminal N4 JACE,681
02iPn000005MiHGIA0,2WR - 016,1245
02iPn000005MiIrIAK,Alpena County Merchant N4 JACE,684
02iPn000005MiKTIA0,Alpena County Plaza Pool JACE,685
02iPn000005MiM5IAK,Alpena City WWTP N4 JACE,687
02iPn000005MiNhIAK,Grand Haven Public Safety and City Hall VPN,691
02iPn000005MiNiIAK,Mt Zion N4 JACE,1257
02iPn000005MiPJIA0,Grand Haven Public Works and City Hall - AX JACE,692
02iPn000005MiPKIA0,1 Chippewa Nature Center VPN,1043
02iPn000005MiPLIA0,Niagara 4 JACE - MasonCo _MS_J1,2447
02iPn000005MiQvIAK,2 - WOPS - N4 Supervisor,693
02iPn000005MiQwIAK,Taylor PS Myers Elementary,2971
02iPn000005MiSXIA0,WOPS South High School N4 JACE,694
02iPn000005MiSYIA0,HFMH Kitchen AHU Jace,2273
02iPn000005MiSZIA0,Energy Meter IP addresses,2958
02iPn000005MiSaIAK,Microbiologic,3241
02iPn000005MiU9IAK,Gateway Senior Living - CW Automate Connection,696
02iPn000005MiUAIA0,Combustion Analyzer (E Instruments ),1118
02iPn000005MiVlIAK,Grand Haven Annex Building - AX JACE,698
02iPn000005MiVmIAK,Taubman Center JACE-04B,2760
02iPn000005MiXNIA0,City of East Lansing DPW,699
02iPn000005MiYzIAK,Armada Schools,700
02iPn000005MiabIAC,1 - VPN  connection - must call to activate,701
02iPn000005MicDIAS,N4 Supervisor RDP,702
02iPn000005MicEIAS,3 - Honeywell Remote Desktop,3299
02iPn000005MidpIAC,1 - Gift of Life Michigan - Remote Access VPN,703
02iPn000005MifRIAS,2 - Gift of Life Michigan - Niagara 4 JACE,704
02iPn000005MifSIAS,Remote Access Port Forward,1322
02iPn000005Mih4IAC,Hillsdale County Annex JACE,845
02iPn000005MikHIAS,78,735
02iPn000005MikIIAS,St_Pauls_HVAC,2872
02iPn000005MinVIAS,Trailer 6,761
02iPn000005Mip7IAC,Trailer 7,762
02iPn000005Mip8IAC,1 - Remote Access,769
02iPn000005MiqjIAC,Trailer 8,763
02iPn000005MisLIAS,2 GRPS RDP - Trend 963 Server (Joker),766
02iPn000005MitxIAC,Tamarack Library - Niagara 4 JACE,767
02iPn000005MivZIAS,1 - Paw Paw Library - VPN Remote Access,771
02iPn000005MixBIAS,Beckwith Hills Church - Windows L2TP VPN,773
02iPn000005MixCIAS,Romulus JACE,1260
02iPn000005MiynIAC,"Benteler AX JACE""s",775
02iPn000005Mj0PIAS,Benteler Supervisor,776
02iPn000005Mj21IAC,JACE (No remote access information was logged),777
02iPn000005Mj22IAC,Robichaud S1000,2220
02iPn000005Mj3dIAC,JACE Information (No remote access details listed),778
02iPn000005Mj5FIAS,2 Marshall County Jail RDP Step 1 (Obsolete - used as alt method),780
02iPn000005Mj5IIAS,8_MclarenOakland8,3090
02iPn000005Mj6rIAC,3 Marshall County Jail RDP Step 2,781
02iPn000005Mj6sIAC,3 - Kent ISD KCTC - Niagara 4 FX JACE #1,862
02iPn000005Mj8TIAS,Holland Public Shools remote Access (Not currently active),782
02iPn000005MjA5IAK,Holland Heights JACE,783
02iPn000005MjBhIAK,Benton Harbor Network Supervisor,785
02iPn000005MjBiIAK,High School | JACE 2,2233
02iPn000005MjDJIA0,Benton Harbor Trane System,786
02iPn000005MjEvIAK,Benton Harbor High School AX JACE,787
02iPn000005MjEwIAK,Gwinn Area Community Schools - Remote Access,901
02iPn000005MjGXIA0,Benton Harbor Schools Creative School,788
02iPn000005MjI9IAK,Benton Harbor Hull School,789
02iPn000005MjIAIA0,Toledo_South N4 JACE,2802
02iPn000005MjJlIAK,Benton Harbor Boynton School,790
02iPn000005MjLNIA0,Benton Harbor Schools Bus Garage,791
02iPn000005MjN0IAK,Remote Access,1279
02iPn000005MjN1IAK,WyomingCleanWaterMUA1,3334
02iPn000005MjObIAK,Zion Lutheran N4 JACE,793
02iPn000005MjQDIA0,YWCA Kalamazoo JACE (no remote connection),794
02iPn000005MjRpIAK,YMCA St. Joseph AX JACE,795
02iPn000005MjTRIA0,Yanfeng site Information,796
02iPn000005MjV3IAK,"2 Wightman VPN Connection ""Not Working""",797
02iPn000005MjWfIAK,White Lake Public Library N4 JACE,798
02iPn000005MjYHIA0,1 West Shore CC Remote Access,799
02iPn000005MjZtIAK,Wayland Union Schools BACnet bus  and JCI information,801
02iPn000005MjbVIAS,Vicksburg Schools Remote Access (No longer connecting),802
02iPn000005Mjd7IAC,Vicksburg Schools Public IP and AX JACES,803
02iPn000005Mjd8IAC,PC0120,2472
02iPn000005MjejIAC,Vanberbuilt Schools Public IP (not connecting),806
02iPn000005MjekIAC,Router-1 Area C Science Room IDF,2153
02iPn000005MjgLIAS,United Methodist Comm House N4 JACE (Not able to connect),807
02iPn000005MjhxIAC,United federal Credit Union N4 JACE (Hilltop Location),808
02iPn000005MjjZIAS,Underground Rail road JACE information - Remote connection,809
02iPn000005MjjaIAC,AX JACE - Sedgebrook_RG_Plant,2942
02iPn000005MjlBIAS,TRW JACE (no remote access),810
02iPn000005MjmnIAC,Tru Building 2nd Floor JACE (no connection),811
02iPn000005MjmoIAC,Kent ISD KTC - ECY 303 Chilled Water System,2796
02iPn000005MjoPIAS,Tru Building 1st Floor JACE (no connection),812
02iPn000005MjoQIAS,HFMHLABEQUIP Jace,2266
02iPn000005MjoRIAS,JACE Config,2464
02iPn000005Mjq1IAC,2 - Livingston County Road Commission N4 JACE,814
02iPn000005MjrdIAC,1 - Livingston County Road Commission Remote Access,815
02iPn000005MjtFIAS,Third Reformed JANE (no connection),816
02iPn000005MjurIAC,State Lottery AX Jace - TrueBuilding,818
02iPn000005MjusIAC,ADMIN-DSMITH - Automate Connection,1170
02iPn000005MjwTIAS,Steel 21 JACE (not able to connect),819
02iPn000005Mjy5IAC,Steelcase test Chamber JACE (not able to connect),820
02iPn000005MjziIAC,BACnet Router Devos Area,2366
02iPn000005Mk2vIAC,St Roberts JACE (no renmote connection information),821
02iPn000005Mk2wIAC,Oakview South Jace 1 - StJohns_OS,3053
02iPn000005Mk4XIAS,Spartan Motors JACE,822
02iPn000005Mk69IAC,Macatawa Bank,823
02iPn000005Mk7lIAC,OLD JACE,825
02iPn000005Mk7mIAC,JCI VRF Smart Gateway,2056
02iPn000005Mk9NIAS,Safran,826
02iPn000005MkAzIAK,1 - Sand Creek Schools RDP Connection,827
02iPn000005MkCbIAK,Sand Creek Niagara Supervisor,828
02iPn000005MkCcIAK,Thornapple Manor - Harvest Pointe,1968
02iPn000005MkEDIA0,Sand Creek High/Middle School N4 JACE,829
02iPn000005MkFpIAK,Sand Creek Elementary N4 JACE,830
02iPn000005MkHRIA0,1 Sault Ste Marie VPN,831
02iPn000005MkJ3IAK,SSM_Federal_Bldg JACE,832
02iPn000005MkJ4IAK,Geiger N4 JACE,1899
02iPn000005MkKfIAK,Shack N4 Supervisor (Retired),834
02iPn000005MkKgIAK,1. Remote Access,1288
02iPn000005MkMHIA0,1 Sheridan Hospital Remote Access,835
02iPn000005MkNtIAK,Saginaw ISD Remote Access (no connection),836
02iPn000005MkPVIA0,Otsego Apts connection information,837
02iPn000005MkR7IAK,Kalamazoo County Mental Health,838
02iPn000005MkSjIAK,1 - Lakeville Public Schools - Remote VPN connection,839
02iPn000005MkSkIAK,WHR_SJTC_03,2052
02iPn000005MkULIA0,Kent records Management JACE (not connecting),840
02iPn000005MkVxIAK,Lakeville Public Schools - Schneider AX Web Supervisor (Obsolete),841
02iPn000005MkXZIA0,GR Label - Watchguard VPN,842
02iPn000005MkZBIA0,1 Hillsdale County Supervisor,843
02iPn000005MkZCIA0,2 - JACE,1714
02iPn000005MkanIAC,Hillsdale County Courthouse JACE,844
02iPn000005MkcPIAS,1 VDV The Shack - All Site VPN access.,846
02iPn000005MkcQIAS,Hydronic Manometer - Water Meter's (TSI),2703
02iPn000005Mke1IAC,Remote Access RDP,848
02iPn000005MkhFIAS,N4 Supervisor-Local Connection Only,850
02iPn000005MkirIAC,2 Alro Steel Supervisor,852
02iPn000005MkkTIAS,9 - OLD Forest Hills Public Schools - ShrewSoft VPN,854
02iPn000005Mkm5IAC,2 - Forest Hills Public Schools - Niagara 4 Supervisor,855
02iPn000005MknhIAC,Forest Hills Public Schools - Collins Niagara 4 JACE,856
02iPn000005MkniIAC,Forest Hills Public Schools - Ada Elementary Niagara 4 JACE,857
02iPn000005MkpMIAS,Alnor (newest digital),2741
02iPn000005MkqvIAC,Forest Hills Public Schools - Northern Middle School Niagara 4 JACE #1,858
02iPn000005MkqwIAC,St Catherines Forticlient VPN,1267
02iPn000005MksXIAS,Forest Hills Public Schools - Northern Middle School Niagara 4 JACE #2,859
02iPn000005Mku9IAC,3 - Kent ISD KCTC - Niagara 4 FX JACE #2,863
02iPn000005MkuAIAS,RTU-101,1330
02iPn000005MkvlIAC,Lawrence Public Schools Niagara Supervisor,865
02iPn000005MkxNIAS,Jonesville Paper Tube JACE (Delete after upgrade),866
02iPn000005MkyzIAC,Onekema Remote Access,867
02iPn000005Mkz0IAC,2WR - 013,1244
02iPn000005Ml0bIAC,"2 Rockford, TN-N4 Supervisor",869
02iPn000005Ml2DIAS,Goodrich Theatres - Global Protect VPN Connection,870
02iPn000005Ml3pIAC,Goodrich Quality Theatres - JACE Indiana,871
02iPn000005Ml5RIAS,1 - Remote Access - N4 JACE,872
02iPn000005Ml73IAC,Remote Access - Fine Arts N4 JACE,873
02iPn000005MlAHIA0,Lansing Surgical - N4 FX JACE - no remote access,876
02iPn000005MlAIIA0,Alma JACE,1134
02iPn000005MlBtIAK,Meijer 985 3rd Floor JACE,877
02iPn000005MlDVIA0,1 - FMG Old Supervisor,881
02iPn000005MlDWIA0,Monitor - 032,1615
02iPn000005MlDXIA0,Middle School Jace 1 - StJohns_MS1,3048
02iPn000005MlF7IAK,FMG_HVAC JACE,882
02iPn000005MlF8IAK,Ridge 45 Traverse City - Remote Access,1954
02iPn000005MlGjIAK,City of East Lansing - Novar Remote Access,883
02iPn000005MlILIA0,1 - Motion Dynamics Remote Access,890
02iPn000005MlIMIA0,LC_Atwood AXJACE,2823
02iPn000005MlJxIAK,Remote Access,891
02iPn000005MlLZIA0,N4 Web Supervisor OLD,893
02iPn000005MlNBIA0,Student Center Lighting,894
02iPn000005MlQPIA0,Sheridan Hospital N4 JACE,895
02iPn000005MlQQIA0,bg-heat-01-18,2633
02iPn000005MlS1IAK,schhvac.sheridanhospital.com,896
02iPn000005MlWrIAK,1 - Remote Access VPN,897
02iPn000005MlYTIA0,Marywood Health Center 1,898
02iPn000005MlYUIA0,Remote Access,1145
02iPn000005MlYVIA0,Monitor - 019,1607
02iPn000005Mla5IAC,Marywood Health Center 2,899
02iPn000005Mla6IAC,5 - High School AX JACE,3105
02iPn000005MlbhIAC,lmgrhvac01.lminfosys.net,902
02iPn000005MldJIAS,"2 GRPS RDP - Novar, Trend SET Server (Riddler)",906
02iPn000005MlevIAC,Magna Plymouth,909
02iPn000005MlgXIAS,Northern Light Arena Remote Access,911
02iPn000005MlgYIAS,LECO TC *** Please Delete this Confg ***,924
02iPn000005Mli9IAC,HPC CU,915
02iPn000005MliAIAS,Taica,2249
02iPn000005MllNIAS,1 - City of Alpena VPN Access,916
02iPn000005MlmzIAC,Summit Polymers Chiller Panel Jace & Connection - No remote access available.,917
02iPn000005Mln0IAC,1 - Remote Access,2748
02iPn000005MlobIAC,RCS - Compass Server,918
02iPn000005MlqDIAS,Livonia ASC,919
02iPn000005MlqEIAS,Contact Tachometer - Contact RPM (Shimpo),2707
02iPn000005MlqFIAS,AHU-1,3426
02iPn000005MlrpIAC,Meijer DF-880,920
02iPn000005MlrqIAC,DPW N4 JACE,2125
02iPn000005MlrrIAC,Cheboygan Head Start JACE Remote Access,3193
02iPn000005MltRIAS,LECO SSTC  *** Please Delete this Confg ***,921
02iPn000005MltSIAS,UCCONTROL01 - Automate Connection,1191
02iPn000005Mlv3IAC,LECO LS,922
02iPn000005MlwfIAC,LECO Global - *** Please Delete this Confg ***,925
02iPn000005MlwgIAC,Robinson Server(Rehmann Connectwise Automate Connection),1716
02iPn000005MlwhIAC,RTU-5 JACE,2539
02iPn000005MlyHIAS,LECO,926
02iPn000005MlyIIAS,1 Ogemaw Court VPN,3305
02iPn000005MlztIAC,LECO Green Building *** Please Delete this Confg ***,927
02iPn000005MlzuIAC,Whirlpool_ADC_S1,2096
02iPn000005MlzvIAC,TD09,2617
02iPn000005MlzwIAC,Middle School Jace 2 - StJohns_MS2,3049
02iPn000005MlzxIAC,Jace Energy Plant,3226
02iPn000005Mm1VIAS,LECO RTU 1,929
02iPn000005Mm37IAC,LECO Test Chamber,930
02iPn000005Mm4jIAC,LECO App Lab N4,931
02iPn000005Mm6LIAS,Holmdene N4 Jace,932
02iPn000005Mm9ZIAS,MUA Jace,933
02iPn000005MmBBIA0,Taica,934
02iPn000005MmCnIAK,Remote Access Logmein - Trend 963 (Email Relay),937
02iPn000005MmCoIAK,Highland JACE2,3017
02iPn000005MmEPIA0,Spring Lake New HS IP Bacnet Router,938
02iPn000005MmG1IAK,Flushing HS,939
02iPn000005MmJFIA0,Flushing ECC,940
02iPn000005MmKrIAK,1 Viant Medical VPN Access,941
02iPn000005MmKsIAK,Paris Ridge - RDP for CCT,1299
02iPn000005MmMTIA0,GRPS - Westwood,942
02iPn000005MmO5IAK,Snowfield JACE connection,945
02iPn000005MmPhIAK,1 Remote Access,946
02iPn000005MmRJIA0,Anchor Bay,947
02iPn000005MmRKIA0,CW Screenconnect connection,2974
02iPn000005MmSvIAK,Supervisor Remote Access,948
02iPn000005MmUXIA0,Supervisor/JACE Password,949
02iPn000005MmUYIA0,Alro Detroit Sherwood HV_02,3129
02iPn000005MmW9IAK,1 - Mercantile Bank Remote Access,951
02iPn000005MmWAIA0,Niagara 4 JACE - 3900 Pine Street,2140
02iPn000005MmXlIAK,St Johns Lutheran Church Rochester - AX JACE,953
02iPn000005MmZNIA0,Hantz Southfield Boiler Plant JACE,954
02iPn000005MmZOIA0,VT8650 Local Passwords,2057
02iPn000005MmazIAC,1 - Lansing Schools VPN,955
02iPn000005MmcbIAC,1 Remote access Alro Steel AnyConnect VPN (New),960
02iPn000005MmeEIAS,Penn1_HP_10,2089
02iPn000005MmfpIAC,1 Remote Access--FortiClient VPN Access,993
02iPn000005MmhRIAS,Remote access (Individual VPN registration required) (IT info),994
02iPn000005MmhSIAS,Monitor - 064,1646
02iPn000005Mmj3IAC,MIOSHA Labs | Remote Access,996
02iPn000005Mmj4IAC,iiStanley_Hardcoat_2,1259
02iPn000005Mmj5IAC,4 - Lockwood Elementary AX JACE,2651
02iPn000005MmkfIAC,Soo Motors JACE,997
02iPn000005MmmHIAS,Carrier I view,998
02iPn000005MmpVIAS,Alro Potterville MAU_01,999
02iPn000005MmpWIAS,Meijer 862 - Central Kitchen | Middlebury,1470
02iPn000005MmpXIAS,1 Remote Access,1976
02iPn000005MmpYIAS,IT Thermometer - Temp. Guns (Fluke),2721
02iPn000005Mmr7IAC,Alro Potterville MAU_02,1000
02iPn000005MmsjIAC,ALRO_MILWAUKEE_01,1001
02iPn000005MmuLIAS,ALRO_MILWAUKEE_02,1002
02iPn000005MmvxIAC,ALRO_MILWAUKEE_03,1003
02iPn000005MmzBIAS,Viant Web Supervisor - FX Workbench,1005
02iPn000005MmzCIAS,Administration TL1 AX JACE,1293
02iPn000005Mn0nIAC,1 Whirlpool remote VPN access and N4 Supervisor,1006
02iPn000005Mn0oIAC,Scheduled Dates to Service,1446
02iPn000005Mn2PIAS,LMCU Sparks BACnet Router,1007
02iPn000005Mn41IAC,JACE - Remote Public IP,1008
02iPn000005Mn5dIAC,Coke AX JACE,1009
02iPn000005Mn7FIAS,2 - Newaygo - Niagara 4 Supervisor,1011
02iPn000005Mn8rIAC,1 Haviland VPN Remote Access,1013
02iPn000005MnATIA0,MSP-Supervisor,1014
02iPn000005MnC5IAK,Highlands Boiler,1016
02iPn000005MnFJIA0,VPN Forticlient Access,1018
02iPn000005MnFKIA0,LC_Green AX JACE,2977
02iPn000005MnGvIAK,JACE-8000,1019
02iPn000005MnGwIAK,Mancelona Middle School Boiler - Niagara 4.12 JACE,2297
02iPn000005MnIXIA0,Napoleon - N4 Server with SET Programming,1021
02iPn000005MnK9IAK,Bolingbrook MUA 03 N4 JACE,1024
02iPn000005MnLlIAK,Bolingbrook MUA 02 AX JACE,1025
02iPn000005MnNNIA0,Alpena Public Schools N4 Supervisor,1026
02iPn000005MnOzIAK,1 Alpena Public Schools Remote Access VPN,1027
02iPn000005MnP0IAK,Columbia RTU=205 N4 JACE,3236
02iPn000005MnQbIAK,Hurricane Utah JACE,1029
02iPn000005MnQcIAK,PC108,1234
02iPn000005MnQdIAK,Football Field Jace 1 - StJohns_Field,3057
02iPn000005MnSDIA0,Litehouse Foods Remote Access,1030
02iPn000005MnTpIAK,2 - JACE,1031
02iPn000005MnTqIAK,2WR - 001,1227
02iPn000005MnVRIA0,1 - Remote Access,1032
02iPn000005MnX3IAK,Bldg 200 - Port Forwarding,1033
02iPn000005MnX4IAK,Temple Emanuel - JACE Webs 8000,3061
02iPn000005MnaHIAS,City Flats Hotel | VPN,1037
02iPn000005MnaIIAS,2 LECO Remote desktop to Niagara Supervisor,1270
02iPn000005MnbtIAC,City Flats - Zigbee Router,1038
02iPn000005MnbuIAC,Trend Controls,2348
02iPn000005MndVIAS,Northview VPN,1039
02iPn000005MndWIAS,Camera System,2230
02iPn000005Mnf7IAC,Chippewa Nature Center Preschool,1040
02iPn000005MngjIAC,2 N4 Supervisor,1041
02iPn000005MniLIAS,SSL Certificate,1042
02iPn000005MnjxIAC,Remote Access,1045
02iPn000005MnnBIAS,PC035,1052
02iPn000005MnonIAC,PC117,1057
02iPn000005MnooIAC,Supervisor,2866
02iPn000005MnopIAC,01 VPN,2908
02iPn000005MnqPIAS,CSI-VS-SVR01,1069
02iPn000005MnqQIAS,Router-3 located 2nd floor art room - IDF1 port 25,2251
02iPn000005Mns1IAC,PC001,1074
02iPn000005MntdIAC,CSI-VS-GW,1075
02iPn000005MnvFIAS,PC045,1094
02iPn000005MnwrIAC,PC037,1099
02iPn000005MnyTIAS,PC036,1103
02iPn000005MnyUIAS,Middleschool Jace 2,3255
02iPn000005Mo05IAC,Hertz10-014,1112
02iPn000005Mo1hIAC,Thermo-Anemometer EXTECH,1113
02iPn000005Mo1iIAC,Admissions JACE,1476
02iPn000005Mo1jIAC,Middle School Bacnet Router New Addition,2390
02iPn000005Mo3JIAS,Temp/Humidity/IR  EXTECH,1114
02iPn000005Mo3KIAS,3 (DeVos) DevosCENTRAVAC_04,2919
02iPn000005Mo4vIAC,Flow Hood,1115
02iPn000005Mo6XIAS,Electronic Micromanometer,1117
02iPn000005Mo6YIAS,1 VPN Configuration,2547
02iPn000005Mo6ZIAS,Huntington_Greenville N4 JACE,2613
02iPn000005Mo89IAC,Meijer_985_Water_Plant,1119
02iPn000005Mo8AIAS,TREND  - Automate Connection,1132
02iPn000005Mo8BIAS,Aquinas_FeildHouse_2  AX JACE,3184
02iPn000005Mo9lIAC,3 - Kent ISD KCTC - Niagara 4 FX JACE #3,1121
02iPn000005MoBNIA0,Immanuel Lutheran N4 JACE,1123
02iPn000005MoBOIA0,HillsdaleMedical_JI AX JACE,2013
02iPn000005MoBPIA0,MIGL-CK-01,2238
02iPn000005MoCzIAK,Menominee Area Schools 963 server,1124
02iPn000005MoEbIAK,GREQUITIES,1126
02iPn000005MoGDIA0,"Trane access to CA Frost, Franklin Campus and Ridgemoor",1127
02iPn000005MoHpIAK,1 - HVAC-SERV - Automate Connection,1128
02iPn000005MoHqIAK,JACE 3 Base Auto,1984
02iPn000005MoJRIA0,GRPS City High (Enertemp Niagara AX JACE),1129
02iPn000005MoMfIAK,GRPS University Prep (GVA Niagara AX),1130
02iPn000005MoOHIA0,1 Merrill Remote Access,1133
02iPn000005MoPtIAK,HVAC - CTRL - Automate Connection,1136
02iPn000005MoRVIA0,Lakeville HS N4 JACE,1139
02iPn000005MoT7IAK,X_Cel Titan JACE (AX 3.8),1140
02iPn000005MoT8IAK,Monitor - 053,1635
02iPn000005MoUjIAK,CS-WWTP-01 - Automate Connection,1146
02iPn000005MoWLIA0,TRANE - Automate Connection,1147
02iPn000005MoWMIA0,Mt Morris Pinehurst JACE,1847
02iPn000005MoXxIAK,1 - TREND - Automate Connection,1149
02iPn000005MobBIAS,BALCONY-TREND - Automate Connection,1150
02iPn000005MocnIAC,LAPTOP-51B812N7 - Automate Connection,1151
02iPn000005MoePIAS,FSC-WS02 - Automate Connection,1152
02iPn000005Mog1IAC,MSHVAC0 - Automate Connection,1153
02iPn000005MohdIAC,GREQUITES,1154
02iPn000005MojFIAS,ANDREW-PC - Automate Connection,1155
